Lake,name_display,island_oikos,in_oikos_core_19,group,Year,Season,present
Azul,Azul,Sao Miguel,TRUE,Diatom,2023,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Diatom,2023,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Diatom,2024,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Diatom,2024,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Diatom,2024,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Diatom,2024,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Diatom,2025,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Diatom,2025,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Diatom,2025,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Diatom,2025,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2003,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2003,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2003,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2003,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2004,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2004,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2004,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2004,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2005,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2005,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2005,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2005,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2006,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2006,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2006,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2006,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2007,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2007,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2007,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2007,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2008,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2008,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2008,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2008,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2009,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2009,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2009,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2009,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2010,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2010,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2010,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2010,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2011,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2011,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2011,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2011,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2012,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2012,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2012,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2012,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2013,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2013,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2013,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2013,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2014,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2014,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2014,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2014,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2015,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2015,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2015,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2015,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2016,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2016,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2016,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2016,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2017,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2017,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2017,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2017,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2018,Autumn,FALSE
